Organization_Name,Type,City,State,Rural_Urban,Address,ZIP,Phone,Website,Services,Latitude,Longitude
ACCESS Family Care,FQHC,Neosho,MO,Rural,,,,,"Primary Care, Dental, Behavioral Health",36.8689,-94.368
Affinia Healthcare,FQHC,St. Louis,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.627,-90.1994
Betty Jean Kerr People's Health Centers,FQHC,St. Louis,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.627,-90.1994
CareSTL Health,FQHC,St. Louis,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.627,-90.1994
Central Ozarks Medical Center,FQHC,Richland,MO,Rural,,,,,"Primary Care, Dental, Behavioral Health",37.8567,-92.4043
Clark Community Mental Health Center,FQHC,Nevada,MO,Rural,,,,,"Primary Care, Dental, Behavioral Health",37.8392,-94.3547
Compass Health Network,FQHC,Columbia,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.9517,-92.3341
Family Health Center of Missouri,FQHC,Columbia,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.9517,-92.3341
Freeman Health System,FQHC,Joplin,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",37.0842,-94.5133
Grace Hill Health Centers,FQHC,St. Louis,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.627,-90.1994
Jordan Valley Community Health Center,FQHC,Springfield,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",37.209,-93.2923
Myrtle Hilliard Davis Comprehensive Health Centers,FQHC,St. Louis,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",38.627,-90.1994
Samuel U. Rodgers Health Center,FQHC,Kansas City,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",39.0997,-94.5786
Swope Health Services,FQHC,Kansas City,MO,Urban,,,,,"Primary Care, Dental, Behavioral Health",39.0997,-94.5786
