Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,latitude,longitude,geocode_quality
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,1,,7,7,0,5,2,,8,7,1,6,0,,11,10,0,10,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,6,0,6,0,,8,6,1,5,0,,11,7,0,5,2,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,1,6,0,,8,7,1,6,0,,11,11,1,9,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,Acute Care Hospitals,Government - Local,Yes,Y,3,,7,5,0,5,0,,8,5,0,5,0,,11,7,0,7,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,Acute Care Hospitals,Government - Local,Yes,Y,2,,7,6,0,5,1,,8,7,2,4,1,,11,10,0,9,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,1,6,0,,8,8,4,4,0,,11,11,1,7,3,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260022,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,(660) 785-1000,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,4,0,4,0,,8,3,0,3,0,,11,6,0,6,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260023,MERCY HOSPITAL JEFFERSON,1400 US HIGHWAY 61,CRYSTAL CITY,MO,63019,JEFFERSON,(636) 933-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260024,TEXAS COUNTY MEMORIAL HOSPITAL,1333 SAM HOUSTON BOULEVARD,HOUSTON,MO,65483,TEXAS,(417) 967-3311,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,3,0,2,1,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,8,,38.38516302104519,-93.79275002978282,county_approximate
260025,HANNIBAL REGIONAL HOSPITAL,6000 HOSPITAL DR,HANNIBAL,MO,63401,MARION,(573) 248-1300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,6,0,6,0,,8,4,0,4,0,,11,10,1,9,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260027,RESEARCH MEDICAL CENTER,2316 E MEYER BLVD,KANSAS CITY,MO,64132,JACKSON,(816) 276-4000,Acute Care Hospitals,Proprietary,Yes,Y,2,,7,7,0,7,0,,8,6,2,3,1,,11,10,0,7,3,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
26002F,General Leonard Wood ACH (FT Leonard Wood),4430 Missouri Ave,Fort Leonard Wood,MO,65473,PULASKI,(573) 596-0035,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0,38.38516302104519,-93.79275002978282,county_approximate
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,ST. LOUIS CITY,(314) 747-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,7,7,2,5,0,,8,8,1,7,0,,11,11,0,7,4,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260034,BATES COUNTY MEMORIAL HOSPITAL,615 W NURSERY ST,BUTLER,MO,64730,BATES,(660) 200-7000,Acute Care Hospitals,Government - Local,Yes,,Not Available,16.0,7,2,0,2,0,,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5.0,12,7,,38.38516302104519,-93.79275002978282,county_approximate
260040,COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD,MO,65807,GREENE,(417) 269-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,0,6,1,,8,8,3,5,0,,11,11,1,8,2,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,KANSAS CITY,MO,64108,JACKSON,(816) 404-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,3,0,3,0,,8,7,1,5,1,,11,7,0,7,0,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,(816) 861-4700,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,7,5,2,3,0,,8,4,0,4,0,,11,6,1,5,0,,8,8,,12,5,,38.38516302104519,-93.79275002978282,county_approximate
260050,MOSAIC MEDICAL CENTER - MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,MO,64468,NODAWAY,(660) 562-2600,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,16.0,7,2,0,2,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260052,MERCY HOSPITAL WASHINGTON,901 EAST 5TH STREET,WASHINGTON,MO,63090,FRANKLIN,(636) 239-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,6,0,6,0,,8,5,1,4,0,,11,8,0,8,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
