index,city,state,zip_code,latitude,longitude,method,confidence,original_query,resolved_query
8,MALDEN,MO,638631512,36.5573,-89.9665,manual_fix,0.95,"MALDEN, MO","Manual fix for MALDEN, MO"
9,PUXICO,MO,639609104,36.9486,-90.1597,manual_fix,0.95,"PUXICO, MO","Manual fix for PUXICO, MO"
19,PLATTSBURG,MO,644771238,39.5647,-94.4619,manual_fix,0.95,"PLATTSBURG, MO","Manual fix for PLATTSBURG, MO"
20,STEELVILLE,MO,655656041,37.9631,-91.3549,manual_fix,0.95,"STEELVILLE, MO","Manual fix for STEELVILLE, MO"
21,SAINT JAMES,MO,655591903,37.9992,-91.6107,manual_fix,0.95,"SAINT JAMES, MO","Manual fix for SAINT JAMES, MO"
22,SAINT ROBERT,MO,655843730,37.8317,-92.1818,manual_fix,0.95,"SAINT ROBERT, MO","Manual fix for SAINT ROBERT, MO"
24,BROOKFIELD,MO,646282337,39.7803,-93.0785,manual_fix,0.95,"BROOKFIELD, MO","Manual fix for BROOKFIELD, MO"
25,PLEASANT HILL,MO,640801945,38.7883,-94.2691,manual_fix,0.95,"PLEASANT HILL, MO","Manual fix for PLEASANT HILL, MO"
30,HAYTI,MO,638511243,36.2367,-89.7545,manual_fix,0.95,"HAYTI, MO","Manual fix for HAYTI, MO"
32,ARCHIE,MO,647259215,38.4803,-94.3527,manual_fix,0.95,"ARCHIE, MO","Manual fix for ARCHIE, MO"
33,GARDEN CITY,MO,647478165,38.4022,-94.193,manual_fix,0.95,"GARDEN CITY, MO","Manual fix for GARDEN CITY, MO"
36,SEYMOUR,MO,657468858,37.1489,-92.7698,manual_fix,0.95,"SEYMOUR, MO","Manual fix for SEYMOUR, MO"
38,HERMANN,MO,650411613,38.7047,-91.4368,manual_fix,0.95,"HERMANN, MO","Manual fix for HERMANN, MO"
41,APPLETON CITY,MO,647241617,38.1928,-94.033,manual_fix,0.95,"APPLETON CITY, MO","Manual fix for APPLETON CITY, MO"
42,CUBA,MO,654531664,38.0619,-91.4043,manual_fix,0.95,"CUBA, MO","Manual fix for CUBA, MO"
43,MATTHEWS,MO,63867,36.7331,-89.5859,manual_fix,0.95,"MATTHEWS, MO","Manual fix for MATTHEWS, MO"
46,BOURBON,MO,654418308,38.1464,-91.2537,manual_fix,0.95,"BOURBON, MO","Manual fix for BOURBON, MO"
47,STEELVILLE,MO,655658102,37.9631,-91.3549,manual_fix,0.95,"STEELVILLE, MO","Manual fix for STEELVILLE, MO"
52,KENNETT,MO,638573252,36.2356,-90.0537,manual_fix,0.95,"KENNETT, MO","Manual fix for KENNETT, MO"
54,LEXINGTON,MO,640671345,39.1867,-93.8774,manual_fix,0.95,"LEXINGTON, MO","Manual fix for LEXINGTON, MO"
55,HIGGINSVILLE,MO,640371877,39.0752352,-93.7172567,direct,0.9,"HIGGINSVILLE, MO, USA","HIGGINSVILLE, MO, USA"
56,ODESSA,MO,640767445,38.9995797,-93.9539663,direct,0.9,"ODESSA, MO, USA","ODESSA, MO, USA"
59,CAMPBELL,MO,639330413,36.4933927,-90.0750949,direct,0.9,"CAMPBELL, MO, USA","CAMPBELL, MO, USA"
61,RICH HILL,MO,647792145,38.0964191,-94.3610616,direct,0.9,"RICH HILL, MO, USA","RICH HILL, MO, USA"
62,CARUTHERSVILLE,MO,638301890,36.191663,-89.6548449,direct,0.9,"CARUTHERSVILLE, MO, USA","CARUTHERSVILLE, MO, USA"
