ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,health_system,affiliation_type,latitude,longitude,geocoded,estimated_annual_visits,estimated_medicare_visits,estimated_medicaid_visits,volume_category,quality_score,patient_satisfaction,comprehensive_score,viability_category
O20021022000023,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1083705529,N,263939,1052229622,FAMILY WALK IN CLINIC OF MOUNTAIN GROVE INC,,2002-09-01,MO,CORPORATION,,P,205 W 3RD STREET,SUITE 3,MOUNTAIN GROVE,MO,657111600,Independent,Independent,37.14006109235786,-92.2540805234978,True,4000,1400,1000,Low,3.7483570765056164,81.81952971294965,83.17538127731743,Strong
O20030224000044,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1700902244,N,263925,9638088172,BRIDGES MEDICAL SERVICES PC,,1999-04-01,MO,CORPORATION,,P,256 STATE HWY Y,,FORSYTH,MO,656535564,Independent,Independent,,,False,2400,840,600,Low,3.430867849414408,71.89733243406543,75.91320464106417,Strong
O20030314000004,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1366520694,N,263480,5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,COXHEALTH CENTER BRANSON WEST,1940-01-01,MO,CORPORATION,,N,18452 BUSINESS 13,,BRANSON WEST,MO,657379609,Regional System,Affiliated,,,False,2400,840,600,Low,4.1238442690503465,78.24166352488442,100.0,Strong
O20030526000000,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1811036791,N,263940,3971413360,MANSFIELD CLINIC INC,MANSFIELD CLINIC INC,2002-05-01,MO,CORPORATION,,P,304W COMMERCIAL ST.,,MANSFIELD,MO,657049527,Independent,Independent,,,False,2400,840,600,Low,4.261514928204012,73.69856945632316,79.41591665844837,Strong
O20030617000029,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1437191095,N,268539,143130393,SAINT LUKES HOSPITAL OF CHILLICOTHE,HEDRICK MEDICAL CENTER,1995-09-28,MO,CORPORATION,,N,2791 N WASHINGTON ST,,CHILLICOTHE,MO,646012902,Regional System,Affiliated,,,False,2400,840,600,Low,3.682923312638332,75.96995964992718,100.0,Strong
O20030708000012,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1891734505,N,268567,1456261395,MACON COUNTY SAMARITAN HOSPITAL,TOTAL FAMILY HEALTH CARE A DIVISION OF SAMARITAN  HOSPITAL,,MO,OTHER,COUNTY HOSPITAL,N,1201 N RUTHERFORD ST,,MACON,MO,635522020,Regional System,Affiliated,,,False,1200,420,300,Low,3.6829315215254095,80.95157025436913,100.0,Strong
O20030711000041,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1417959149,N,263889,6800706797,MEDSTOP ONE INC,,1997-08-12,MO,CORPORATION,,P,3065  WILLIAM ST,SUITE 209,CAPE GIRARDEAU,MO,637036373,Independent,Independent,37.312190055511515,-89.52791401396594,True,32000,11200,8000,High,4.289606407753696,66.81779316766527,93.8402049477813,Strong
O20030721000005,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1164456612,N,268564,1254248917,LESTER E COX MEDICAL CENTERS,COXHEALTH CENTER ROGERSVILLE,,,CORPORATION,,N,151 JOHNSTOWN DR,,ROGERSVILLE,MO,657429366,COXHEALTH,Affiliated,,,False,2400,840,600,Low,4.183717364576454,95.9238727568546,100.0,Strong
O20030829000032,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1801839147,N,263996,6800707225,POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,MALDEN MEDICAL CENTER,2009-04-14,MO,LLC,,P,806 N DOUGLASS ST,,MALDEN,MO,638631512,Regional System,Affiliated,,,False,1800,630,450,Low,3.5652628070325236,64.93982618500299,90.7550338466304,Strong
O20030909000021,MO,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1275576654,N,263473,6800707225,POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,PUXICO MEDICAL CLINIC,2009-04-14,MO,LLC,,P,130 E HARBIN AVE,,PUXICO,MO,639609104,Regional System,Affiliated,,,False,1800,630,450,Low,4.071280021792982,62.85811387212268,92.5709314743842,Strong
